Division,Cell/Line/ Dept,Category,Machine and Equipment,Location and/or Workcenter,Type (capex/small tool),Serial No.,Asset #,,Year New,Condition,Service Status (in/out),As of (Year-Month), Estimated/expected replacement cost ,Estimted Replacement Year,ERY: 0-1,ERY: 1-2,ERY: 2-3,ERY:3-4,ERY: 4-5,ERY: 5+,COMMENTS
BLA,Toilet Partitions Factory,Tooling,"Miter Saw, for Holzma Saw - ID 1378",CL Cell,small tool,,,,,Poor,In ,N/A, N/A ,n/a,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Notching machine, 1540 Door - ID 13",HPL Cell,capex,Custom,N/A,,1997,Good ,In,1997-01,,2019,,,,,,,
BLA,Toilet Partitions Factory,Machine,O-Sama (Joos) Glue Spreader  - ID 1724/11536,HPL Cell,capex,23063,11618,,2017,Poor,In,2017-12,,2027,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Pack out Carts  1-6 - ID 811,General,small tool,N/A,N/A,,N/A,,,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Panel Handler - 4ft - ID 1457,N/A,small tool,N/A,N/A,,2016,Good,,2016-09,,2026,,,,,,,
BLA,Toilet Partitions Factory,Machine,Pinch Roller (Heated)  - ID 1584/11536,HPL Cell,capex,372440,11536,,2017,Good,In,2017-07,,2027,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Return System, Thomas, 1/2"" Solid Panels - ID 156/10776",CL Cell,capex,2018831,10776,,2008,Good,In,2008-06,,2028,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Return System, Thomas, 1040 Edgebander - ID 63/10776",HPL Cell,capex,2010050,10776,,2001,Good,In,2001-10,,2020,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Return System, Thomas, Laminate Trimmer - ID 158",HPL Cell,capex,2070412,N/A,,2007,Good,In,2007,,2020,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Return system,Thomas,Evolve cell  - ID 2109",CL Cell,capex,2016735,N/A,,2017,Good,In,2017-01,,2027,,,,,,,
BLA,Toilet Partitions Factory,N/A,Rework Station (Laminate Cell) - ID 781,HPL Cell,capex,N/A,,,,,In,,,,,,,,,,
BLA,Toilet Partitions Factory,N/A,Router Station (Stile Building cell) - ID 779,HPL Cell,capex,N/A,,,,,In,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Router, CNC,  Anderson Stratos/Nest TC+D - ID 1503/11535",CL Cell,capex,FAANCST05138,11535,,2017,Good,In,2017-01, n/a ,2026,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Saw, 10' Panel, Laminate Line - ID 5/7579",HPL Cell,capex,112789,7579,,1989,Fair,In,1989-07,"$75,000.00 ",2020,,,,,,,
