equipment_id,equipment_eq_id,equipment_name,department,wo_id,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments,audit_item,due_date
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,11611,Closed without Action,0.00,0.00,PU,,0.00,6/10/2024,Primo Uy - 06/24/24 12:08:38 PM: Replace by robotic arm glue dispenser.,[],Check Follower Head for glue buildup it should swivel easily,6/9/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,11081,Closed without Action,0.00,0.00,PU,,0.00,10/10/2024,Primo Uy - 10/10/24 10:04:54 AM: Obsolete.,[],"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",10/11/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10780,Closed without Action,0.00,0.00,PU,,0.00,3/19/2025,Primo Uy - 03/19/25  9:16:03 AM: Replece by robotic arm.,[],Check hoses and rubber parts (replace as needed),3/20/2025
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,20205,Pending,0.00,0.00,,Technician,0.00,,,[],"(1) Inspect both vacuum filters (one per arm);
(2) Clean Vacuum System by applying reverse air pressure through     the system.
(3) Check and change filter if needed
(2) Tighten hardware",9/3/2026
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,20206,Pending,0.00,0.00,,Mechanic,0.00,,,[],"Inspect all cylinders, flow controller, and its sensors for tightness and proper operation;

Check all safeties and E-stops for proper operation",9/3/2026
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,99,Closed and Completed,0.00,0.50,PU,,0.00,4/19/2022,Primo Uy - 04/19/22  2:52:56 PM: Done,[],"Inspect all cylinders, flow controller, and its sensors for tightness and proper operation;

Check all safeties and E-stops for proper operation",4/18/2022
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,97,Closed and Completed,0.00,1.00,PU,,0.00,4/19/2022,Primo Uy - 04/19/22  2:50:41 PM: Done,[],"(1) Inspect both vacuum filters (one per arm);
(2) Clean Vacuum System by applying reverse air pressure through     the system.
(3) Check and change filter if needed
(2) Tighten hardware",4/18/2022
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,98,Closed and Completed,0.00,0.35,PU,,0.00,9/7/2022,Primo Uy - 09/07/22 12:06:44 PM: Use grease gun.,[],Lubricate bearing on vacuum arm shaft,9/18/2022
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,100,Closed and Completed,0.00,0.50,PU,,0.00,9/7/2022,Primo Uy - 09/07/22 12:07:34 PM: Done,[],"Replace Vacuum Cups
Clean Vacuum filter and vacuum lines",9/18/2022
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,2634,Closed and Completed,0.00,0.50,PU,,0.00,11/9/2022,Primo Uy - 11/09/22  7:56:38 AM: Done,[],"(1) Inspect both vacuum filters (one per arm);
(2) Clean Vacuum System by applying reverse air pressure through     the system.
(3) Check and change filter if needed
(2) Tighten hardware",11/13/2022
