eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 5030,Tube Mill,1180,Eisele Cut Saw (For Specials and 3588-33),,Eisele,N/A,Jake/Matt,0,3/27/2024 8:12 PM
EQ ID 327,Toilet Partitions,1170,Vertical Panel Saw,,A&S,7X7,Jake/Matt,1,3/27/2024 8:06 PM
EQ ID 5306,Toilet Partitions,1170,Pinch Roller Entry Conveyor,3137,Thomas Conveyor,ATF 80X90,Jake/Matt,0,3/27/2024 6:33 PM
EQ ID 1761,Toilet Partitions,1170,Return System - Edge Bander,11521,Thomas Conveyor,70x136,Jake/Matt,0,3/27/2024 3:56 PM
EQ ID 1760,Toilet Partitions,1170,"Return System - 3/4"" 1080 Finishing",,Thomas Conveyor,60x108,Jake/Matt,0,3/27/2024 3:54 PM
EQ ID 313,Toilet Partitions,1170,"Return System - 1/2"" 1080 Finishing",11546,Thomas Conveyor,70x164,Jake/Matt,0,3/27/2024 3:53 PM
EQ ID 5304,Toilet Partitions,1170,Return System - 1040 Finishing,11616,Thomas Conveyor,70x134,Jake/Matt,0,3/27/2024 3:47 PM
EQ ID 5303,Toilet Partitions,1170,Anver Lift,,Gorbel,Anver Lift,Jake/Matt,0,3/27/2024 3:30 PM
EQ ID 2009,Toilet Partitions,1170,"Tecnolegno 3/4"" Edge Finishing Machine",11663,Tecnolegno,Universal 280SX,Jake/Matt,0,3/27/2024 3:15 PM
EQ ID 314,Toilet Partitions,1170,"Tecnolegno 1/2"" Edge Finishing Machine",11300,Tecnolegno,Universal,Jake/Matt,0,3/27/2024 3:13 PM
EQ ID 315,Toilet Partitions,1170,1080 CNC Drill (Gannomat),,Gannomat,815.828,Jake/Matt,2,3/27/2024 3:10 PM
EQ ID 5034,Toilet Partitions,1170,1040 CNC Drill (Gannomat),10860,Gannomat,Type-470,Jake/Matt,0,3/27/2024 2:57 PM
EQ ID 1589,Toilet Partitions,1170,Anderson Router,,Anderson,Stratos/Pro-E,Anderson America,0,3/27/2024 2:42 PM
EQ ID 5302,Toilet Partitions,1170,Toyota Forklift (TPF),,Toyota,8FBCU30,Thompson and Johnson,0,3/27/2024 2:33 PM
